ISSUE_ID,STREAM_NAME,RELEASE,WORK_ITEM_ID,WORK_ITEM_STATUS,COMMIT_ID,CHECK_IN_DATE
1000,APP-Analytics,4.0.0.4000,250239,In Review,,NULL
1001,APP-Analytics,4.0.0.4000,250238,New,,NULL
1002,Platform-ServiceFramework,1.0.0.1000,279045,Completed,q9e0r4d7,2025-05-12 00:00:00
1003,Platform-IntegrationService,2.0.0.2000,233656,Active,,NULL
1004,Platform-ServiceFramework,1.0.0.1000,299788,Checked in,q8t3d5u0,2025-01-31 00:00:00
1005,APP-UI-UX,3.0.0.3000,208500,Completed,x2w5v2l1,2025-01-18 23:06:00
1006,APP-UI-UX,3.0.0.3000,208593,Completed,i7o2y9t7,2025-05-01 00:47:00
1007,APP-Analytics,4.0.0.4000,289954,In Review,,NULL
1008,APP-Analytics,4.0.0.4000,202006,In Review,,NULL
1009,APP-UI-UX,3.0.0.3000,213196,In Review,,NULL
1010,APP-UI-UX,3.0.0.3000,234196,In Review,,NULL
1011,Platform-IntegrationService,2.0.0.2000,298281,New,,NULL
1012,Platform-IntegrationService,2.0.0.2000,223934,Completed,t6q3e6k7,2025-02-24 00:54:00
1013,Platform-IntegrationService,2.0.0.2000,273145,Active,,NULL
1014,Platform-IntegrationService,2.0.0.2000,253246,Active,,NULL
1015,Platform-IntegrationService,2.0.0.2000,288391,New,,NULL
1016,Platform-ServiceFramework,1.0.0.1000,278842,Checked in,a5n3d6z0,2025-02-20 19:08:00
1017,Platform-ServiceFramework,1.0.0.1000,257823,In Review,,NULL
1018,APP-Analytics,4.0.0.4000,236200,Checked in,g0k6j8i1,2025-02-09 20:42:00
1019,Platform-IntegrationService,2.0.0.2000,273720,In Review,,NULL
1020,Platform-IntegrationService,2.0.0.2000,297993,In Review,,NULL
1021,APP-Analytics,4.0.0.4000,245392,Active,,NULL
1022,Platform-IntegrationService,2.0.0.2000,208921,New,,NULL
1023,APP-Analytics,4.0.0.4000,258654,In Review,,NULL
