Month,MonthID,CountryName,CountryCode,RegionName,RegionCode,ProductSKUID,ProductCategory,ProductName,ProductCostPrice,RegularRetailPrice,DiscountRetailPrice,RegularUnitSold,DiscountUnitSold,SumRegularSales,SumDiscountSales,TotalSales,TotalMargin
Jan2025,202501,United States,12,US North,121,100001,Kitchen Essentials,Stainless Steel Measuring Cups,4.5,10,8,267,83,2670,664,3334,1759
Jan2025,202501,United States,12,US North,121,100002,Kitchen Essentials,Silicone Spatula Set,4.6,12.5,10,274,95,3425,950,4375,2677.6
Jan2025,202501,United States,12,US North,121,100003,Personal Care,Aloe Face Moisturizer,8.03,15,12,97,21,1455,252,1707,759.46
Jan2025,202501,United States,12,US North,121,100004,Personal Care,Natural Deodorant Stick,7.6,11,9,213,134,2343,1206,3549,911.8
Jan2025,202501,United States,12,US North,121,100005,Clothing,Men's Formal Trousers,12,28,23,351,152,9828,3496,13324,7288
Jan2025,202501,United States,12,US South,125,100001,Kitchen Essentials,Stainless Steel Measuring Cups,4.5,10,8,121,46,1210,368,1578,826.5
Jan2025,202501,United States,12,US South,125,100002,Kitchen Essentials,Silicone Spatula Set,4.6,12.5,10,231,112,2887.5,1120,4007.5,2429.7
Jan2025,202501,United States,12,US South,125,100003,Personal Care,Aloe Face Moisturizer,8.03,15,12,142,78,2130,936,3066,1299.4
Jan2025,202501,United States,12,US South,125,100004,Personal Care,Natural Deodorant Stick,7.6,11,9,154,43,1694,387,2081,583.8
Jan2025,202501,United States,12,US South,125,100006,Clothing,Women's Jacket,15,30,25,247,98,7410,2450,9860,4685
Jan2025,202501,India,15,India North,153,500001,Home Decor,Scented Soy Candle,5.96,10,8,125,82,1250,656,1906,672.28
Jan2025,202501,India,15,India North,153,500002,Home Decor,Mini Succulent Plant Pot,1.32,5,4,172,89,860,356,1216,871.48
Jan2025,202501,India,15,India North,153,500003,Electronics Accessories,USB-C Charging Cable (2-pack),6.9,15,12,817,6,12255,72,12327,6648.3
Jan2025,202501,India,15,India North,153,500004,Electronics Accessories,Wireless Mouse,5,12,10,280,96,3360,960,4320,2440
Jan2025,202501,India,15,India North,153,500005,Toys & Games,Classic Jigsaw Puzzle (500 pcs),7.56,20,15,527,64,10540,960,11500,7032.04
Jan2025,202501,India,15,India South,157,500006,Toys & Games,Card Game,6.27,20,14,117,7,2340,98,2438,1660.52
Jan2025,202501,India,15,India South,157,500007,Pet Supplies,Dog Chew Toy,4.71,15,12,452,51,6780,612,7392,5022.87
Jan2025,202501,India,15,India South,157,500008,Pet Supplies,Cat Plush Mouse Toy,4.82,14,10,182,27,2548,270,2818,1810.62
Jan2025,202501,India,15,India South,157,500009,Snacks & Beverages,Gourmet Popcorn Tin,7.11,20,15,65,49,1300,735,2035,1224.46
Jan2025,202501,India,15,India South,157,500010,Snacks & Beverages,Herbal Tea Sampler Pack,1.87,5,4,915,57,4575,228,4803,2985.36
Feb2025,202502,United States,12,US North,121,100001,Kitchen Essentials,Stainless Steel Measuring Cups,4.5,10,8,578,54,5780,432,6212,3368
Feb2025,202502,United States,12,US North,121,100002,Kitchen Essentials,Silicone Spatula Set,4.6,12.5,10,227,98,2837.5,980,3817.5,2322.5
Feb2025,202502,United States,12,US North,121,100003,Personal Care,Aloe Face Moisturizer,8.03,15,12,246,112,3690,1344,5034,2159.26
Feb2025,202502,United States,12,US North,121,100004,Personal Care,Natural Deodorant Stick,7.6,11,9,460,47,5060,423,5483,1629.8
Feb2025,202502,United States,12,US North,121,100005,Clothing,Men's Formal Trousers,12,28,23,213,90,5964,2070,8034,4398
Feb2025,202502,United States,12,US South,125,100001,Kitchen Essentials,Stainless Steel Measuring Cups,4.5,10,8,257,80,2570,640,3210,1693.5
Feb2025,202502,United States,12,US South,125,100002,Kitchen Essentials,Silicone Spatula Set,4.6,12.5,10,262,3,3275,30,3305,2086
Feb2025,202502,United States,12,US South,125,100003,Personal Care,Aloe Face Moisturizer,8.03,15,12,274,112,4110,1344,5454,2354.42
