sale_id,cust_id,merchant_id,date,total_price
1,8,9,2023-01-01,75
2,7,3,2023-01-02,34
3,8,8,2023-01-03,33
4,1,7,2023-01-04,60
5,7,2,2023-01-05,93
6,2,8,2023-01-06,83
7,7,9,2023-01-07,105
8,1,5,2023-01-08,67
9,10,3,2023-01-09,40
10,9,1,2023-01-10,66
11,8,1,2023-01-11,20
12,7,7,2023-01-12,44
13,3,5,2023-01-13,76
14,10,5,2023-01-14,88
15,2,9,2023-01-15,100
16,5,10,2023-01-16,76
17,2,1,2023-01-17,80
18,1,8,2023-01-18,47
19,5,8,2023-01-19,76
20,8,1,2023-01-20,102
21,2,6,2023-01-21,92
22,7,6,2023-01-22,68
23,1,8,2023-01-23,53
24,7,3,2023-01-24,58
25,3,9,2023-01-25,60
26,4,5,2023-01-26,66
27,8,4,2023-01-27,25
28,10,1,2023-01-28,78
29,7,10,2023-01-29,70
30,6,1,2023-01-30,77
31,3,9,2023-01-31,28
32,3,10,2023-02-06,58
33,9,4,2023-02-11,62
34,3,4,2023-02-15,41
35,1,9,2023-02-17,63
36,2,4,2023-02-18,12
37,4,1,2023-02-19,76
38,9,10,2023-02-26,14
39,5,10,2023-02-28,79
40,4,7,2023-03-01,76
41,1,10,2023-03-03,59
42,4,7,2023-03-05,25
43,9,3,2023-03-06,86
44,2,5,2023-03-08,94
45,9,3,2023-03-09,39
46,3,9,2023-03-10,61
47,10,8,2023-03-15,85
48,8,9,2023-03-16,93
49,7,3,2023-03-17,56
50,1,1,2023-03-18,55
51,10,3,2023-03-19,89
52,8,7,2023-03-20,12
53,9,4,2023-03-25,11
54,7,9,2023-03-27,15
55,7,5,2023-03-28,35
56,9,9,2023-03-29,12
57,3,3,2023-03-30,36
58,10,4,2023-03-31,70
59,3,6,2023-04-01,89
60,9,5,2023-04-02,76
61,7,7,2023-04-03,47
62,7,2,2023-04-05,93
63,6,9,2023-04-06,88
64,3,7,2023-04-07,79
65,1,6,2023-04-08,34
66,1,1,2023-04-09,87
67,2,8,2023-04-10,23
68,6,9,2023-04-11,52
69,9,8,2023-04-13,49
70,6,8,2023-04-14,102
71,2,5,2023-04-15,73
72,6,4,2023-04-16,83
73,6,2,2023-04-17,52
74,2,8,2023-04-18,106
75,6,7,2023-04-19,84
76,5,10,2023-04-20,99
77,7,5,2023-04-23,66
78,1,9,2023-04-24,59
79,2,8,2023-04-25,71
80,6,6,2023-04-26,16
81,3,5,2023-04-27,17
82,9,1,2023-04-29,105
