sales_id,prod_id,quantity
1,1,97
1,2,413
1,3,303
1,4,478
1,5,22
1,6,3
1,7,274
1,8,40
1,9,438
1,10,302
2,1,440
2,2,20
2,3,291
2,4,172
2,5,375
2,6,416
2,7,87
2,8,400
2,9,156
2,10,4
3,1,356
3,2,332
3,3,98
3,4,333
3,5,235
3,6,116
3,7,10
3,8,480
3,9,206
3,10,8
4,1,325
4,2,484
4,3,162
4,4,405
4,5,412
4,6,371
4,7,337
4,8,302
4,9,389
4,10,283
5,1,469
5,2,43
5,3,203
5,4,296
5,5,100
5,6,379
5,7,458
5,8,277
5,9,186
5,10,63
6,1,250
6,2,193
6,3,289
6,4,97
6,5,468
6,6,276
6,7,309
6,8,9
6,9,5
6,10,405
7,1,73
7,2,479
7,3,462
7,4,305
7,5,282
7,6,392
7,7,233
7,8,147
7,9,211
7,10,250
8,1,30
8,2,286
8,3,274
8,4,185
8,5,458
8,6,109
8,7,2
8,8,216
8,9,136
8,10,93
9,1,147
9,2,304
9,3,79
9,4,46
9,5,291
9,6,16
9,7,192
9,8,321
9,9,160
9,10,479
10,1,308
10,2,34
10,3,128
10,4,161
10,5,213
10,6,134
10,7,129
10,8,25
10,9,72
10,10,496
11,1,74
11,2,328
11,3,186
11,4,141
11,5,242
11,6,384
11,7,386
11,8,378
11,9,54
11,10,397
12,1,136
12,2,335
12,3,260
12,4,242
12,5,43
12,6,207
12,7,491
12,8,82
12,9,51
12,10,396
13,1,408
13,2,392
13,3,355
13,4,184
13,5,97
13,6,387
13,7,279
13,8,484
13,9,8
13,10,212
14,1,115
14,2,125
14,3,352
14,4,364
14,5,81
14,6,106
14,7,3
14,8,295
14,9,456
14,10,492
15,1,171
15,2,211
15,3,456
15,4,492
15,5,146
15,6,111
15,7,106
15,8,390
15,9,221
15,10,67
16,1,247
16,2,240
16,3,299
16,4,130
16,5,247
16,6,216
16,7,332
16,8,97
16,9,213
16,10,328
17,1,475
17,2,43
17,3,74
17,4,194
17,5,76
17,6,446
17,7,326
17,8,320
17,9,162
17,10,317
18,1,29
18,2,96
18,3,115
18,4,295
18,5,198
18,6,189
18,7,89
18,8,9
18,9,361
18,10,102
19,1,123
19,2,239
19,3,437
19,4,5
19,5,280
19,6,309
19,7,80
19,8,209
19,9,54
19,10,125
20,1,63
20,2,225
20,3,131
20,4,61
20,5,263
20,6,455
20,7,117
20,8,166
20,9,407
20,10,394
21,1,487
21,2,150
21,3,128
21,4,355
21,5,274
21,6,223
21,7,362
21,8,51
21,9,256
21,10,425
22,1,329
22,2,417
22,3,493
22,4,491
22,5,52
22,6,492
22,7,473
22,8,17
22,9,390
22,10,487
23,1,443
23,2,266
23,3,233
23,4,311
23,5,200
23,6,122
23,7,376
23,8,118
23,9,277
23,10,287
24,1,367
24,2,468
24,3,431
24,4,279
24,5,26
24,6,186
24,7,250
24,8,312
24,9,476
24,10,19
25,1,80
25,2,336
25,3,166
25,4,240
25,5,356
25,6,487
25,7,214
25,8,290
25,9,40
25,10,366
26,1,473
26,2,373
26,3,235
26,4,14
26,5,138
26,6,278
26,7,487
26,8,178
26,9,297
26,10,89
27,1,8
27,2,200
27,3,259
27,4,377
27,5,295
27,6,367
27,7,170
27,8,106
27,9,335
27,10,29
28,1,72
28,2,197
28,3,484
28,4,296
28,5,106
28,6,360
28,7,24
28,8,448
28,9,280
28,10,17
29,1,98
29,2,14
29,3,411
29,4,435
29,5,464
29,6,73
29,7,35
29,8,292
29,9,148
29,10,331
30,1,488
30,2,48
30,3,431
30,4,308
30,5,361
30,6,408
30,7,449
30,8,247
30,9,185
30,10,468
31,1,92
31,2,7
31,3,358
31,4,304
31,5,385
31,6,316
31,7,227
31,8,60
31,9,272
31,10,314
32,1,957
32,2,718
32,3,988
32,4,865
32,5,566
32,6,874
32,7,710
32,8,810
32,9,679
32,10,676
33,1,764
33,2,779
33,3,814
33,4,870
33,5,851
33,6,867
33,7,502
33,8,598
33,9,706
33,10,672
34,1,569
34,2,876
34,3,764
34,4,972
34,5,631
34,6,570
34,7,659
34,8,894
34,9,957
34,10,804
35,1,735
35,2,689
35,3,646
35,4,515
35,5,655
35,6,909
35,7,628
35,8,569
35,9,955
35,10,683
36,1,986
36,2,824
36,3,892
36,4,724
36,5,784
36,6,724
36,7,537
36,8,681
36,9,772
36,10,802
37,1,720
37,2,600
37,3,523
37,4,699
37,5,816
37,6,818
37,7,657
37,8,882
37,9,894
37,10,635
38,1,644
38,2,989
38,3,760
38,4,609
38,5,862
38,6,736
38,7,565
38,8,586
38,9,859
38,10,739
39,1,657
39,2,591
39,3,913
39,4,958
39,5,724
39,6,1000
39,7,900
39,8,719
39,9,723
39,10,564
40,1,1302
40,2,1008
40,3,1489
40,4,1275
40,5,1225
40,6,1187
40,7,1023
40,8,1475
40,9,1289
40,10,1363
41,1,1393
41,2,1369
41,3,1282
41,4,1301
41,5,1309
41,6,1013
41,7,1192
41,8,1454
41,9,1273
41,10,1199
42,1,1217
42,2,1262
42,3,1081
42,4,1370
42,5,1409
42,6,1319
42,7,1369
42,8,1384
42,9,1411
42,10,1223
43,1,1390
43,2,1282
43,3,1008
43,4,1058
43,5,1333
43,6,1112
43,7,1239
43,8,1448
43,9,1141
43,10,1064
44,1,1215
44,2,1189
44,3,1425
44,4,1478
44,5,1397
44,6,1202
44,7,1468
44,8,1373
44,9,1119
44,10,1449
45,1,1038
45,2,1211
45,3,1046
45,4,1444
45,5,1135
45,6,1484
45,7,1106
45,8,1180
45,9,1386
45,10,1309
46,1,1267
46,2,1239
46,3,1095
46,4,1192
46,5,1126
46,6,1283
46,7,1087
46,8,1419
46,9,1031
46,10,1439
47,1,1173
47,2,1312
47,3,1006
47,4,1110
47,5,1393
47,6,1245
47,7,1361
47,8,1108
47,9,1016
47,10,1319
48,1,1439
48,2,1329
48,3,1039
48,4,1280
48,5,1460
48,6,1234
48,7,1084
48,8,1445
48,9,1156
48,10,1088
49,1,1400
49,2,1429
49,3,1015
49,4,1092
49,5,1339
49,6,1301
49,7,1199
49,8,1495
49,9,1069
49,10,1399
50,1,1494
50,2,1443
50,3,1261
50,4,1082
50,5,1268
50,6,1139
50,7,1335
50,8,1340
50,9,1180
50,10,1152
51,1,1008
51,2,1417
51,3,1203
51,4,1470
51,5,1341
51,6,1300
51,7,1162
51,8,1448
51,9,1163
51,10,1067
52,1,1008
52,2,1237
52,3,1424
52,4,1496
52,5,1474
52,6,1262
52,7,1175
52,8,1335
52,9,1403
52,10,1351
53,1,1265
53,2,1379
53,3,1081
53,4,1447
53,5,1461
53,6,1239
